fecha,provincia,concepto,categoria,valor_real,variacion_interanual_pct,fuente
2022-09,San Juan,Otros impuestos,Otros recursos provinciales,4704793512,,Carga de usuario
2022-09,San Juan,Total,Total recursos provinciales,38006154236,-2.9,Carga de usuario
2022-10,San Juan,Ingresos Brutos,Impuesto provincial,25513171773,-2.9,Carga de usuario
2022-10,San Juan,Inmobiliario,Impuesto provincial,859546051.80,-3.2,Carga de usuario
2022-10,San Juan,Automotor,Impuesto provincial,3074649405,2.0,Carga de usuario
2022-10,San Juan,Sellos,Impuesto provincial,2492219664,-17.6,Carga de usuario
2022-10,San Juan,DJ,Otros recursos provinciales,2698255.12,,Carga de usuario
2022-10,San Juan,Otros impuestos,Otros recursos provinciales,4616463641,,Carga de usuario
2022-10,San Juan,Total,Total recursos provinciales,36558748791,-5.0,Carga de usuario
2022-11,San Juan,Ingresos Brutos,Impuesto provincial,26308672577,-5.2,Carga de usuario
2022-11,San Juan,Inmobiliario,Impuesto provincial,818932480.90,-14.2,Carga de usuario
2022-11,San Juan,Automotor,Impuesto provincial,3020281725,-2.4,Carga de usuario
2022-11,San Juan,Sellos,Impuesto provincial,2585091728,1.7,Carga de usuario
2022-11,San Juan,DJ,Otros recursos provinciales,1517277.89,55.5,Carga de usuario
2022-11,San Juan,Otros impuestos,Otros recursos provinciales,4088813374,-14.2,Carga de usuario
2022-11,San Juan,Total,Total recursos provinciales,36823309162,-5.9,Carga de usuario
2022-12,San Juan,Ingresos Brutos,Impuesto provincial,24826968815,-3.9,Carga de usuario
2022-12,San Juan,Inmobiliario,Impuesto provincial,726063514.50,-28.4,Carga de usuario
2022-12,San Juan,Automotor,Impuesto provincial,4564329961,44.8,Carga de usuario
2022-12,San Juan,Sellos,Impuesto provincial,2185147011,-12.0,Carga de usuario
2022-12,San Juan,DJ,Otros recursos provinciales,9420895.81,-13.8,Carga de usuario
2022-12,San Juan,Otros impuestos,Otros recursos provinciales,4462458425,-0.1,Carga de usuario
2022-12,San Juan,Total,Total recursos provinciales,36774388622,-0.5,Carga de usuario
2023-01,San Juan,Ingresos Brutos,Impuesto provincial,31675323924,9.9,Carga de usuario
2023-01,San Juan,Inmobiliario,Impuesto provincial,999460718.60,-27.8,Carga de usuario
2023-01,San Juan,Automotor,Impuesto provincial,441773413.50,-78.3,Carga de usuario
2023-01,San Juan,Sellos,Impuesto provincial,3150641134,34.2,Carga de usuario
2023-01,San Juan,DJ,Otros recursos provinciales,116492.05,-88.3,Carga de usuario
2023-01,San Juan,Otros impuestos,Otros recursos provinciales,3522443476,-25.7,Carga de usuario
2023-01,San Juan,Total,Total recursos provinciales,39789759158,1.2,Carga de usuario
2023-02,San Juan,Ingresos Brutos,Impuesto provincial,24061194518,2.3,Carga de usuario
2023-02,San Juan,Inmobiliario,Impuesto provincial,5041856101,-20.1,Carga de usuario
2023-02,San Juan,Automotor,Impuesto provincial,3511795528,106.2,Carga de usuario
2023-02,San Juan,Sellos,Impuesto provincial,3204143662,34.3,Carga de usuario
2023-02,San Juan,DJ,Otros recursos provinciales,1138794.81,-35.8,Carga de usuario
2023-02,San Juan,Otros impuestos,Otros recursos provinciales,3164329468,-25.4,Carga de usuario
2023-02,San Juan,Total,Total recursos provinciales,38984458072,2.1,Carga de usuario
2023-03,San Juan,Ingresos Brutos,Impuesto provincial,28531026074,10.0,Carga de usuario
2023-03,San Juan,Inmobiliario,Impuesto provincial,1802328854,12.2,Carga de usuario
2023-03,San Juan,Automotor,Impuesto provincial,10405384599,-21.4,Carga de usuario
2023-03,San Juan,Sellos,Impuesto provincial,3932540127,56.8,Carga de usuario
2023-03,San Juan,DJ,Otros recursos provinciales,2397449.89,66.3,Carga de usuario
2023-03,San Juan,Otros impuestos,Otros recursos provinciales,3734290530,-30.0,Carga de usuario
2023-03,San Juan,Total,Total recursos provinciales,48407967634,-0.5,Carga de usuario
2023-04,San Juan,Ingresos Brutos,Impuesto provincial,28036788924,8.3,Carga de usuario
2023-04,San Juan,Inmobiliario,Impuesto provincial,1035422460,-14.1,Carga de usuario
2023-04,San Juan,Automotor,Impuesto provincial,3732229950,-25.6,Carga de usuario
